Color,prototypeX,prototypeY,prototypeZ
#FF784D,  -2.7928,  -0.029001, -0.032287
#FF984D,  -2.6534,   0.021286,  0.079576
#FF4DD3,  -2.2719,    0.38183,   0.12253
#FF4DC1,  -2.5385,    0.58869,  0.019799
#FF4DB6,  -2.6789,    0.43232, -0.032694
#FF6A4D,  -2.7547,    0.21238, -0.053177
#FF854D,  -2.8591,   -0.16383, -0.026379
#FF934D,  -2.7241,  -0.025711,  0.056599
#FF554D,   -2.627,    0.37588,  0.022408
#FF4D4D,  -2.7062,    0.42233,  -0.06076
#FF654D,  -2.7981,    0.25285, -0.086312
#FF7D4D,  -2.8659, -0.0063714, -0.072631
#FF8D4D,  -2.7244,   -0.14643,  0.017951
#FFAE4D,   -2.369,   -0.25807,  0.081613
#FFC94D,  -1.8875,   -0.16238,  0.078641
#FF4DE1,  -2.1735,    0.16285,  0.012393
#FF5A4D,  -2.6071,    0.25061, -0.044719
#FF724D,   -2.711,   0.067855, -0.033229
#FFF94D, -0.99645,   -0.43987,  0.019114
#CCFF4D, -0.66857,   -0.52405,  0.071243
#BCFF4D, -0.42958,   -0.30696,  0.012507
#E4FF4D, -0.55626,   -0.14397, -0.023834
#EDFF4D, -0.68379,   -0.17986, -0.071665
#FAFF4D, -0.89804,   -0.32016, -0.032395
#86FF4D,  0.16625,   -0.46771,  -0.14783
#94FF4D, 0.053843,   -0.60215,  0.025226
#9CFF4D,  0.12542,   -0.48772,   0.13192
#73FF4D,  0.27892,   -0.22979,    0.1067
#68FF4D,  0.37418,   -0.15981, -0.019975
#60FF4D,  0.34636,   -0.27128,  -0.16452
#4DFF4D,  0.56782,   -0.49829,  -0.12145
#4DFF56,  0.52112,   -0.46829,  0.071989
#4DFF64,  0.61925,   -0.27042,   0.20397
#4DFF6F,  0.72013,  -0.081788,   0.11546
#4DFF79,  0.75553,   -0.14025, -0.058804
#4DFF84,  0.72412,    -0.2968,  -0.20347
#4DFF9A,   1.1284,   -0.27768,  -0.21832
#4DFFA7,   1.0375,   -0.37687, -0.027679
#4DFFB5,   1.0687,   -0.24895,   0.20039
#4DFFC0,   1.1327,  -0.048207,   0.22401
#4DFFC8,   1.1896,  0.0066098,  0.080248
#4DFFD5,   1.2075,   -0.10985,  -0.12386
#4DFFF0,   1.4551,   -0.14022,  -0.13826
#4DFFE5,   1.4465,   -0.12958,  0.084907
#4DEBFF,   1.6243,   0.027348,   0.21165
#4DD0FF,   1.7928,    0.14025,   0.16085
#4D7FFF,   1.7801,     0.1258, -0.024992
#4DFFFE,    1.634, -0.0079636,  -0.16058
#4D87FF,   1.8022,    0.10097,  -0.17753
#4DF8FF,   1.5962,   0.043666, -0.013382
#4DD2FF,   1.7446,    0.11563,   0.17607
#4DBDFF,   2.0994,    0.26466,   0.23118
#4DADFF,   2.1887,    0.30888,  0.061556
#4D9AFF,   2.0537,    0.23084,   -0.1283
#4D74FF,   1.6237,    0.18607,  -0.10599
#4D64FF,   1.4203,    0.23553,   0.12932
#4DDDFF,   1.6426,     0.2938,   0.18456
#4DB5FF,   2.0373,     0.3551,  0.084955
#4DA2FF,    2.128,    0.34246,  -0.11511
#4D94FF,   1.9732,    0.26758,   -0.2193
#504DFF,   1.2744,    0.19576,   -0.2115
#6B4DFF,   1.0449,    0.24307,  0.035634
#7B4DFF,  0.91172,    0.33703,    0.1413
#734DFF,  0.99903,    0.36612,  0.034521
#5B4DFF,   1.2801,    0.36475,  -0.11402
#4D51FF,   1.4056,    0.29948,  -0.22583
